DENOMINACIÓ DELS MUNICIPIS VALENCIANS 			
Font: http://www.avl.gva.es/documents/84900/91479/Denominaci%C3%B3+dels+municipis+valencians/			
NOM VALENCIÀ	NOM OFICIAL 	GENTILICI 	PRED. LING. 
Ademús 	Ademuz 	ademusser, ademussera 	castellà 
Ador 	Ador 	adorer, adorera 	valencià 
Agost 	Agost 	agoster, agostera 	valencià 
Agres 	Agres 	agresà, agresana 	valencià 
Agullent 	Agullent 	agullentí, agullentina 	valencià 
Aielo de Malferit 	Aielo de Malferit 	aieloner, aielonera 	valencià 
Aielo de Rugat 	Aielo de Rugat 	aielí, aielina 	valencià 
Aigües 	Aigües 	aigüer, aigüera 	valencià 
Aín 	Aín 	aïnenc, aïnenca 	valencià 
Aiòder 	Ayódar 	aiodà, aiodana; aioder, aiodera 	castellà 
Aiora 	Ayora 	aiorí, aiorina 	castellà 
Alacant 	Alacant / Alicante 	alacantí, alacantina 	valencià 
Alaquàs 	Alaquàs 	alaquaser, alaquasera 	valencià 
Albaida 	Albaida 	albaidí, albaidina 	valencià 
Albal 	Albal 	albalenc, albalenca 	valencià 
Albalat de la Ribera 	Albalat de la Ribera 	albalatenc, albalatenca 	valencià 
Albalat dels Sorells 	Albalat dels Sorells 	albalatà, albalatana 	valencià 
Albalat dels Tarongers 	Albalat dels Tarongers 	albalatenc, albalatenca 	valencià 
Albatera 	Albatera 	albaterà, albaterana 	castellà 
Alberic 	Alberic 	alberiquer, alberiquera; alberiqueny, alberiquenya 	valencià 
Albocàsser 	Albocàsser 	albocassí, albocassina 	valencià 
Alboraia 	Alboraia / Alboraya 	alboraier, alboraiera 	valencià 
Alboraig 	Alborache 	alborager, alboragera 	castellà 
Albuixec 	Albuixech 	albuixequer, albuixequera 	valencià 
Alcalà de Xivert 	Alcalà de Xivert 	xivertí, xivertina 	valencià 
Alcalalí 	Alcalalí 	alcalalí, alcalalina 	valencià 
Alcàntera de Xúquer 	Alcàntera de Xúquer 	alcanterí, alcanterina 	valencià 
Alcàsser 	Alcàsser 	alcasser, alcassera 	valencià 
Alcoi 	Alcoi / Alcoy 	alcoià, alcoiana 	valencià 
Alcoleja 	Alcoleja 	alcolejà, alcolejana 	valencià 
Alcora, l’ 	Alcora, l’ 	alcorí, alcorina 	valencià 
Alcosser de Planes 	Alcocer de Planes 	alcosserí, alcosserina 	valencià 
Alcubles, les 	Alcublas 	alcublà, alcublana 	castellà 
Alcúdia, l’ 	Alcúdia, l’ 	alcudià, alcudiana 	valencià 
Alcúdia de Crespins, l’ 	Alcúdia de Crespins, l’ 	alcudià, alcudiana 	valencià 
Alcúdia de Veo, l’ 	Alcudia de Veo 	alcudià, alcudiana 	castellà 
Aldaia 	Aldaia 	aldaier, aldaiera 	valencià 
Alfafar 	Alfafar 	alfafarenc, alfafarenca 	valencià 
Alfafara 	Alfafara 	alfafarenc, alfafarenca 	valencià 
Alfara de la Baronia 	Alfara de la Baronia 	alfarenc, alfarenca 	valencià 
Alfara del Patriarca 	Alfara del Patriarca 	alfarer, alfarera 	valencià 
Alfarb 	Alfarp 	alfarbí, alfarbina 	valencià 
Alfarrasí 	Alfarrasí 	alfarrasiner, alfarrasinera 	valencià 
Alfàs del Pi, l’ 	Alfàs del Pi, l’ 	alfassí, alfassina 	valencià 
Alfauir 	Alfauir 	alfauirenc, alfauirenca 	valencià 
Alfondeguilla 	Alfondeguilla 	alfondeguiller, alfondeguillera; fondeguiller, fondeguillera 	valencià 
Algar de Palància 	Algar de Palancia 	algarenc, algarenca; algareny, algarenya 	valencià 
Algemesí 	Algemesí 	algemesinenc, algemesinenca 	valencià 
Algímia d’Alfara 	Algimia de Alfara 	algimià, algimiana 	valencià 
Algímia d’Almonesir 	Algimia de Almonacid 	algimià, algimiana 	castellà 
Alginet 	Alginet 	alginetí, alginetina 	valencià 
Algorfa 	Algorfa 	algorfí, algorfina 	castellà 
Alguenya, l’ 	Algueña 	alguenyer, alguenyera 	valencià 
Almàssera 	Almàssera 	almasserí, almasserina 	valencià 
Almassora 	Almassora  	almassorí, almassorina 	valencià 
Almedíxer 	Almedíjar 	almedixà, almedixana 	castellà 
Almenara 	Almenara 	almenarenc, almenarenca 	valencià 
Almiserà 	Almiserà 	almiseratí, almiseratina 	valencià 
Almoines 	Almoines 	almoiner, almoinera 	valencià 
Almoradí 	Almoradí 	almoradienc, almoradienca 	castellà 
Almudaina 	Almudaina 	almudainer, almudainera 	valencià 
Almussafes 	Almussafes 	almussafenc, almussafenca; almussafeny, almussafenya 	valencià 
Alpont 	Alpuente 	alpontí, alpontina 	castellà 
Alqueria d’Asnar, l’ 	Alqueria d’Asnar, l’ 	alquerier, alqueriera 	valencià 
Alqueria de la Comtessa, l’ 	Alqueria de la Comtessa, l’ 	alquerià, alqueriana 	valencià 
Alqueries, les 	Alqueries, les / Alquerías del Niño Perdido  	alquerier, alqueriera 	valencià 
Altea 	Altea 	alteà, alteana 	valencià 
Altura 	Altura 	alturà, alturana 	castellà 
Alzira 	Alzira 	alzirenc, alzirenca  alzireny, alzirenya 	valencià 
Andilla 	Andilla 	andillà, andillana 	castellà 
Anna 	Anna 	anner, annera 	castellà 
Antella 	Antella 	antellà, antellana 	valencià 
Aranyel 	Arañuel 	aranyeler, aranyelera 	castellà 
Aras de los Olmos 	Aras de los Olmos 	aresà, aresana 	castellà 
Ares del Maestrat 	Ares del Maestrat 	arenc, arenca 	valencià 
Argeleta 	Argelita 	argeletà, argeletana 	castellà 
Artana 	Artana 	artanenc, artanenca 	valencià 
Asp 	Aspe 	aspenc, aspenca 	castellà 
Assuévar 	Azuébar 	assuever, assuevera 	castellà 
Atzeneta d’Albaida 	Atzeneta d’Albaida 	atzenetí, atzenetina 	valencià 
Atzeneta del Maestrat 	Atzeneta del Maestrat 	atzenetí, atzenetina 	valencià 
Atzúbia, l’ 	Atzúbia, l’ 	atzubià, atzubiana 	valencià 
Balones 	Balones 	baloner, balonera 	valencià 
Banyeres de Mariola 	Banyeres de Mariola 	banyerí, banyerina; banyerut, banyeruda 	valencià 
Barraques 	Barracas 	barraquer, barraquera 	castellà 
Barx 	Barx 	barxer, barxera 	valencià 
Barxeta 	Barxeta 	barxetà, barxetana 	valencià 
Begís 	Bejís 	begissà, begissana 	castellà 
Bèlgida 	Bèlgida 	belgidà, belgidana 	valencià 
Bell-lloc 	Benlloch 	belloquí, belloquina 	valencià 
Bellreguard 	Bellreguard 	bellreguardí, bellreguardina 	valencià 
Bellús 	Bellús 	bellusser, bellussera 	valencià 
Benafer 	Benafer 	benafer, benafera 	castellà 
Benafigos 	Benafigos 	benafiguer, benafiguera 	valencià 
Benaguasil 	Benaguasil 	benaguasiler, benaguasilera 	valencià 
Benaixeve 	Benagéber 	benaixever, benaixevera 	castellà 
Benasau 	Benasau 	benasauer, benasauera 	valencià 
Benassal 	Benassal 	benassalenc, benassalenca 	valencià 
Benavites 	Benavites 	benaviter, benavitera 	valencià 
Beneixama 	Beneixama 	beneixamer, beneixamera 	valencià 
Beneixida 	Beneixida 	beneixider, beneixidera 	valencià 
Benejússer 	Benejúzar 	benejussenc, benejussenca 	castellà 
Benetússer 	Benetússer 	benetussí, benetussina 	valencià 
Benferri 	Benferri 	benferrí, benferrina 	castellà 
Beniarbeig 	Beniarbeig 	beniarbegí, beniarbegina 	valencià 
Beniardà 	Beniardá 	beniarder, beniardera 	valencià 
Beniarjó 	Beniarjó 	beniarjoter, beniarjotera 	valencià 
Beniarrés 	Beniarrés 	beniarresí, beniarresina 	valencià 
Beniatjar 	Beniatjar 	beniatjarí, beniatjarina  	valencià 
Benicarló 	Benicarló 	benicarlando, benicarlanda 	valencià 
Benicàssim 	Benicàssim / Benicasim 	benicassut, benicassuda 	valencià 
Benicolet 	Benicolet 	benicoletà, benicoletana 	valencià 
Benicull de Xúquer 	Benicull de Xúquer 	benicullenc, benicullenca 	valencià 
Benidoleig 	Benidoleig 	benidolejà, benidolejana 	valencià 
Benidorm 	Benidorm 	benidormer, benidormera 	valencià 
Benifaió 	Benifaió 	benifaioner, benifaionera 	valencià 
Benifairó de la Valldigna 	Benifairó de la Valldigna 	benifaironer, benifaironera 	valencià 
Benifairó de les Valls 	Benifairó de les Valls 	benifairenc, benifairenca 	valencià 
Benifallim 	Benifallim 	benifallimer, benifallimera 	valencià 
Benifato 	Benifato 	benifater, benifatera 	valencià 
Beniflà 	Beniflá 	beniflater, beniflatera 	valencià 
Benigànim 	Benigànim 	beniganí, beniganina 	valencià 
Benigembla 	Benigembla 	benigembler, benigemblera 	valencià 
Benijòfar 	Benijófar 	benijofarer, benijofarera 	castellà 
Benilloba 	Benilloba 	benillober, benillobera 	valencià 
Benillup 	Benillup 	benilluper, benillupera 	valencià 
Benimantell 	Benimantell 	benimantellut, benimantelluda 	valencià 
Benimarfull 	Benimarfull 	benimarfuller, benimarfullera 	valencià 
Benimassot 	Benimassot 	benimassoter, benimassotera 	valencià 
Benimeli 	Benimeli 	benimelí, benimelina 	valencià 
Benimodo 	Benimodo 	benimodí, benimodina 	valencià 
Benimuslem 	Benimuslem 	benimusler, benimuslera 	valencià 
Beniparrell 	Beniparrell 	beniparrellí, beniparrellina 	valencià 
Benirredrà 	Benirredrà 	benirredrà, benirredrana 	valencià 
Benissa 	Benissa 	benisser, benissera 	valencià 
Benissanó 	Benissanó 	benissaner, benissanera 	valencià 
Benissoda 	Benissoda 	benissodà, benissodana 	valencià 
Benissuera 	Benissuera 	benissuerà, benissuerana 	valencià 
Bétera 	Bétera 	beterà, beterana 	valencià 
Betxí 	Betxí 	betxinenc, betxinenca 	valencià 
Biar 	Biar 	biarenc, biarenca; biarut, biaruda 	valencià 
Bicorb 	Bicorp 	bicorbí, bicorbina 	castellà 
Bigastre 	Bigastro 	bigastrenc, bigastrenca 	castellà 
Bocairent 	Bocairent 	bocairentí, bocairentina 	valencià 
Bolbait 	Bolbaite 	bolbaití, bolbaitina 	castellà 
Bolulla 	Bolulla 	boluller, bolullera 	valencià 
Bonrepòs i Mirambell 	Bonrepòs i Mirambell 	bonreposí, bonreposina 	valencià 
Borriana 	Borriana / Burriana 	borrianenc, borrianenca 	valencià 
Borriol 	Borriol 	borriolenc, borriolenca 	valencià 
Bufali 	Bufali 	bufalità, bufalitana 	valencià 
Bugarra 	Bugarra 	bugarrenc, bugarrenca 	castellà 
Bunyol 	Buñol 	bunyolenc, bunyolenca 	castellà 
Burjassot 	Burjassot 	burjassoter, burjassotera 	valencià 
Busot 	Busot 	busoter, busotera 	valencià 
Cabanes 	Cabanes 	cabanyut, cabanyuda 	valencià 
Càlig 	Càlig 	calijó, calijona 	valencià 
Calles 	Calles 	callesà, callesana 	castellà 
Callosa d’en Sarrià 	Callosa d’en Sarrià 	callosí, callosina 	valencià 
Callosa de Segura 	Callosa de Segura 	callosí, callosina 	castellà 
Calp 	Calp 	calpí, calpina 	valencià 
Camp de Mirra, el 	Camp de Mirra, el / Campo de Mirra 	mirrenc, mirrenca 	valencià 
Campello, el 	Campello, el 	campeller, campellera 	valencià 
Camporrobles 	Camporrobles 	camporrutenc, camporrutenca 	castellà 
Canals 	Canals 	canalí, canalina 	valencià 
Canet d’en Berenguer 	Canet d’en Berenguer 	caneter, canetera 	valencià 
Canet lo Roig 	Canet lo Roig 	caneter, canetera 	valencià 
Canyada, la 	Cañada 	canyut, canyuda 	valencià 
Carcaixent 	Carcaixent 	carcaixentí, carcaixentina 	valencià 
Càrcer 	Càrcer 	carcerí, carcerina 	valencià 
Carlet 	Carlet 	carletí, carletina 	valencià 
Carrícola 	Carrícola 	carricolí, carricolina 	valencià 
Cases Altes 	Casas Altas 	casalter, casaltera 	castellà 
Cases Baixes 	Casas Bajas 	casabaixer, casabaixera 	castellà 
Casinos 	Casinos 	casiner, casinera 	valencià 
Castalla 	Castalla 	castallut, castalluda 	valencià 
Castell de Cabres 	Castell de Cabres 	castellenc, castellenca 	valencià 
Castell de Castells 	Castell de Castells 	castellenc, castellenca 	valencià 
Castell de Guadalest, el 	Castell de Guadalest, el 	castellenc, castellenca 	valencià 
Castell de Vilamalefa, el 	Castillo de Villamalefa 	casteller, castellera 	castellà 
Castellfort 	Castellfort 	castellfortí, castellfortina 	valencià 
Castellnou 	Castellnovo 	castellnovenc, castellnovenca 	castellà 
Castelló de la Plana 	Castelló de la Plana / Castellón de la Plana 	castellonenc, castellonenca 	valencià 
Castelló de Rugat 	Castelló de Rugat 	castellonenc, castellonenca 	valencià 
Castellonet de la Conquesta 	Castellonet de la Conquesta 	castellonetí, castellonetina 	valencià 
Castielfabib 	Castielfabib 	castieler, castielera 	castellà 
Catadau 	Catadau 	catadauí, catadauina 	valencià 
Catarroja 	Catarroja 	catarrogí, catarrogina 	valencià 
Catí 	Catí 	catinenc, catinenca 	valencià 
Catral 	Catral 	catralenc, catralenca 	castellà 
Caudete de las Fuentes 	Caudete de las Fuentes 	caudetenc, caudetenca 	castellà 
Caudiel 	Caudiel 	caudielà, caudielana 	castellà 
Cerdà 	Cerdà 	cerdaí, cerdaïna 	valencià 
Cervera del Maestrat 	Cervera del Maestre 	cerverí, cerverina 	valencià 
Cinctorres 	Cinctorres 	cinctorrà, cinctorrana 	valencià 
Cirat 	Cirat 	cirater, ciratera 	castellà 
Cocentaina 	Cocentaina 	contestà, contestana; cocentainer, cocentainera 	valencià 
Cofrents 	Cofrentes 	cofrentí, cofrentina 	castellà 
Coix 	Cox 	coixenc, coixenca 	castellà 
Confrides 	Confrides 	confridenc, confridenca 	valencià 
Corbera 	Corbera 	corberà, corberana 	valencià 
Cortes d’Arenós 	Cortes de Arenoso 	cortesà, cortesana 	castellà 
Cortes de Pallars 	Cortes de Pallás 	cortesà, cortesana 	castellà 
Costur 	Costur 	costurenc, costurenca 	valencià 
Cotes 	Cotes 	coter, cotera 	valencià 
Coves de Vinromà, les 	Coves de Vinromà, les 	covarxí, covarxina 	valencià 
Crevillent 	Crevillent 	crevillentí, crevillentina 	valencià 
Culla 	Culla 	cullà, cullana; cullerà, cullerana 	valencià 
Cullera 	Cullera 	cullerà, cullerana 	valencià 
Daia Nova 	Daya Nueva 	daianovés, daianovesa 	castellà 
Daia Vella 	Daya Vieja 	daiavellenc, daiavellenca 	castellà 
Daimús 	Daimús 	daimuser, daimusera 	valencià 
Dénia 	Dénia 	denier, deniera 	valencià 
Dolores 	Dolores 	dolorenc, dolorenca 	castellà 
Domenyo 	Domeño 	domenyer, domenyera 	castellà 
Dosaigües 	Dos Aguas 	dosaigüer, dosaigüera 	castellà 
Elda 	Elda 	eldenc, eldenca 	castellà 
Eliana, l’ 	Eliana, l’ 	elianer, elianera 	valencià 
Elx 	Elx / Elche 	il·licità, il·licitana; elxà, elxana 	valencià 
Emperador 	Emperador 	venter, ventera 	valencià 
Énguera 	Enguera 	enguerí, enguerina 	castellà 
Ènova, l’ 	Ènova, l’ 	enover, enovera 	valencià 
Eslida 	Eslida 	eslider, eslidera 	valencià 
Espadella 	Espadilla 	espadellà, espadellana 	castellà 
Estivella 	Estivella 	estivellenc, estivellenca 	valencià 
Estubeny 	Estubeny 	estubenyer, estubenyera 	valencià 
Fageca 	Facheca 	fagequí, fagequina 	valencià 
Famorca 	Famorca 	famorquí, famorquina 	valencià 
Fanzara 	Fanzara 	fanzarí, fanzarina 	castellà 
Faura 	Faura 	faurer, faurera 	valencià 
Favara 	Favara 	favarer, favarera 	valencià 
Figueres 	Higueras 	figuerenc, figuerenca 	castellà 
Figueroles 	Figueroles 	figueroler, figuerolera 	valencià 
Figueroles de Domenyo 	Higueruelas 	figuerolà, figuerolana 	castellà 
Finestrat 	Finestrat 	finestratí, finestratina 	valencià 
Foios 	Foios 	foier, foiera 	valencià 
Fondó de les Neus, el 	Fondó de les Neus, el / Hondón de las Nieves 	fondoner, fondonera 	valencià 
Fondó dels Frares, el 	Hondón de los Frailes 	fondoner, fondonera 	valencià 
Font d’en Carròs, la 	Font d’en Carròs, la 	fonter, fontera 	valencià 
Font de la Figuera, la 	Font de la Figuera, la 	fontí, fontina 	valencià 
Font de la Reina, la 	Fuente la Reina 	reiner, reinera 	castellà 
Fontanars dels Alforins 	Fontanars dels Alforins 	alforiner, alforinera 	valencià 
Fonts d’Aiòder, les 	Fuentes de Ayódar 	fonter, fontera 	castellà 
Forcall, el 	Forcall 	forcallà, forcallana 	valencià 
Formentera del Segura 	Formentera del Segura 	formenterer, formenterera 	castellà 
Fortaleny 	Fortaleny 	fortalenyer, fortalenyera 	valencià 
Fuenterrobles 	Fuenterrobles 	fuenterroblenc, fuenterroblenca 	castellà 
Gaianes 	Gaianes 	gaianer, gaianera 	valencià 
Gaibiel 	Gaibiel 	gaibielà, gaibielana 	castellà 
Gandia 	Gandia 	gandienc, gandienca; gandià, gandiana 	valencià 
Gata de Gorgos 	Gata de Gorgos 	gater, gatera 	valencià 
Gàtova 	Gátova 	gatovenc, gatovenca 	castellà 
Gavarda 	Gavarda 	gavardí, gavardina 	valencià 
Geldo 	Geldo 	geldí, geldina 	castellà 
Genovés, el 	Genovés 	genovesí, genovesina 	valencià 
Gilet 	Gilet 	giletà, giletana 	valencià 
Godella 	Godella 	godellenc, godellenca 	valencià 
Godelleta 	Godelleta 	godelletà, godelletana 	castellà 
Gorga 	Gorga 	gorguer, gorguera 	valencià 
Granja de la Costera, la 	Granja de la Costera, la 	granger, grangera 	valencià 
Granja de Rocamora, la 	Granja de Rocamora 	granger, grangera 	castellà 
Guadasséquies 	Guadasséquies 	guadassequià, guadassequiana 	valencià 
Guadassuar 	Guadassuar 	guadassuarenc, guadassuarenca 	valencià 
Guardamar de la Safor 	Guardamar de la Safor 	guardamarenc, guardamarenca 	valencià 
Guardamar del Segura 	Guardamar del Segura 	guardamarenc, guardamarenca 	valencià 
