PRED. LING.	NOM VALENCIÀ	NOM OFICIAL	SÓN IGUALS	OBSERVACIONS
castellà	Ademús	Ademuz	FALS	
castellà	Aiòder	Ayódar	FALS	
castellà	Aiora	Ayora	FALS	
castellà	Alboraig	Alborache	FALS	
castellà	les Alcubles	Alcublas	FALS	
castellà	l’Alcúdia de Veo	Alcudia de Veo	FALS	
castellà	Algímia d’Almonesir	Algimia de Almonacid	FALS	
castellà	Almedíxer	Almedíjar	FALS	
castellà	Alpont	Alpuente	FALS	
castellà	Aranyel	Arañuel	FALS	
castellà	Argeleta	Argelita	FALS	
castellà	Asp	Aspe	FALS	
castellà	Assuévar	Azuébar	FALS	
castellà	Barraques	Barracas	FALS	
castellà	Begís	Bejís	FALS	
castellà	Benaixeve	Benagéber	FALS	
castellà	Benejússer	Benejúzar	FALS	
castellà	Benijòfar	Benijófar	FALS	
castellà	Bicorb	Bicorp	FALS	
castellà	Bigastre	Bigastro	FALS	
castellà	Bolbait	Bolbaite	FALS	
castellà	Bunyol	Buñol	FALS	
castellà	Cases Altes	Casas Altas	FALS	
castellà	Cases Baixes	Casas Bajas	FALS	
castellà	el Castell de Vilamalefa	Castillo de Villamalefa	FALS	
castellà	Castellnou	Castellnovo	FALS	
castellà	Cofrents	Cofrentes	FALS	
castellà	Coix	Cox	FALS	
castellà	Cortes d’Arenós	Cortes de Arenoso	FALS	
castellà	Cortes de Pallars	Cortes de Pallás	FALS	
castellà	Daia Nova	Daya Nueva	FALS	
castellà	Daia Vella	Daya Vieja	FALS	
castellà	Domenyo	Domeño	FALS	
castellà	Dosaigües	Dos Aguas	FALS	
castellà	Énguera	Enguera	FALS	
castellà	Espadella	Espadilla	FALS	
castellà	Figueres	Higueras	FALS	
castellà	Figueroles de Domenyo	Higueruelas	FALS	
castellà	la Font de la Reina	Fuente la Reina	FALS	
castellà	les Fonts d’Aiòder	Fuentes de Ayódar	FALS	
castellà	Gàtova	Gátova	FALS	
castellà	la Granja de Rocamora	Granja de Rocamora	FALS	
castellà	Iàtova	Yátova	FALS	
castellà	la Iessa	La Yesa	FALS	
castellà	la Llosa del Bisbe	Losa del Obispo	FALS	
castellà	Lludient	Ludiente	FALS	
castellà	Millars	Millares	FALS	
castellà	Montant	Montán	FALS	
castellà	Montfort	Monforte del Cid	FALS	no es marca
castellà	Navaixes	Navajas	FALS	
castellà	Olocau del Rei	Olocau del Rey	FALS	
castellà	Oriola	Orihuela	FALS	
castellà	Pavies	Pavías	FALS	
castellà	el Pilar de la Foradada	Pilar de la Horadada	FALS	
castellà	Pina	Pina de Montalgrao	FALS	
castellà	la Pobla d’Arenós	Puebla de Arenoso	FALS	
castellà	la Pobla de Sant Miquel	Puebla de San Miguel	FALS	
castellà	Redovà	Redován	FALS	
castellà	Rojals	Rojales	FALS	
castellà	Sacanyet	Sacañet	FALS	
castellà	Saix	Sax	FALS	
castellà	les Salines	Salinas	FALS	
castellà	Sant Antoni de Benaixeve	San Antonio de Benagéber	FALS	
castellà	Sant Fulgenci	San Fulgencio	FALS	
castellà	Sant Isidre	San Isidro	FALS	
castellà	Sant Miquel de les Salines	San Miguel de Salinas	FALS	
castellà	Setaigües	Siete Aguas	FALS	
castellà	Sinarques	Sinarcas	FALS	
castellà	Sogorb	Segorbe	FALS	
castellà	Soneixa	Soneja	FALS	
castellà	Sot de Xera	Sot de Chera	FALS	
castellà	Sucaina	Zucaina	FALS	
castellà	Teresa de Cofrents	Teresa de Cofrentes	FALS	
castellà	Titaigües	Titaguas	FALS	
castellà	Toixa	Tuéjar	FALS	
castellà	Toràs	Torás	FALS	
castellà	Torralba	Torralba del Pinar	FALS	no es marca
castellà	Torrebaixa	Torrebaja	FALS	
castellà	Torrevella	Torrevieja	FALS	
castellà	Torre-xiva	Torrechiva	FALS	
castellà	la Vall d’Almonesir	Vall de Almonacid	FALS	
castellà	Vilafermosa	Villahermosa del Río	FALS	
castellà	Vilamalur	Villamalur	FALS	
castellà	Vilanova de la Reina	Villanueva de Viver	FALS	
castellà	el Villar	Villar del Arzobispo	FALS	
castellà	Xacarella	Jacarilla	FALS	
castellà	Xalans	Jalance	FALS	
castellà	Xarafull	Jarafuel	FALS	
castellà	Xella	Chella	FALS	
castellà	Xelva	Chelva	FALS	
castellà	Xera	Chera	FALS	
castellà	Xèrica	Jérica	FALS	
castellà	Xest	Cheste	FALS	
castellà	Xestalgar	Gestalgar	FALS	
castellà	Xiva	Chiva	FALS	
castellà	Xóvar	Chóvar	FALS	
castellà	Xulilla	Chulilla	FALS	
valencià	Albuixec	Albuixech	FALS	
valencià	Alcosser de Planes	Alcocer de Planes	FALS	
valencià	Alfarb	Alfarp	FALS	
valencià	Algar de Palància	Algar de Palancia	FALS	
valencià	Algímia d’Alfara	Algimia de Alfara	FALS	
valencià	l’Alguenya	Algueña	FALS	
valencià	Bell-lloc	Benlloch	FALS	
valencià	Beniardà	Beniardá	FALS	
valencià	Beniflà	Beniflá	FALS	
valencià	la Canyada	Cañada	FALS	
valencià	Cervera del Maestrat	Cervera del Maestre	FALS	
valencià	Fageca	Facheca	FALS	
valencià	el Fondó dels Frares	Hondón de los Frailes	FALS	
valencià	el Forcall	Forcall	FALS	no es marca
valencià	el Genovés	Genovés	FALS	no es marca
valencià	Herbers	Herbés	FALS	
valencià	Montcada	Moncada	FALS	
valencià	Muro d’Alcoi	Muro de Alcoy	FALS	
valencià	Nàquera	Náquera	FALS	
valencià	Palma de Gandia	Palma de Gandía	FALS	
valencià	el Ràfol de Salem	Ráfol de Salem	FALS	
valencià	Ròtova	Rótova	FALS	
valencià	Sanet i els Negrals	Sanet y Negrals	FALS	
valencià	Sant Rafel del Riu	San Rafael del Río	FALS	
valencià	Santa Magdalena de Polpís	Santa Magdalena de Pulpis	FALS	
valencià	la Serra d’en Galceran	Sierra Engarcerán	FALS	
valencià	Sorita	Zorita del Maestrazgo	FALS	
valencià	la Todolella	Todolella	FALS	no es marca
valencià	Torís	Turís	FALS	
valencià	la Vall d’Alba	Vall d’Alba	FALS	no es marca
valencià	la Vall de Gallinera	Vall de Gallinera	FALS	no es marca
valencià	Vilanova de Castelló	Villanueva de Castellón	FALS	
castellà	Albatera	Albatera	VERITAT	
castellà	Algorfa	Algorfa	VERITAT	
castellà	Almoradí	Almoradí	VERITAT	
castellà	Altura	Altura	VERITAT	
castellà	Andilla	Andilla	VERITAT	
castellà	Anna	Anna	VERITAT	
castellà	Aras de los Olmos	Aras de los Olmos	VERITAT	
castellà	Benafer	Benafer	VERITAT	
castellà	Benferri	Benferri	VERITAT	
castellà	Bugarra	Bugarra	VERITAT	
castellà	Calles	Calles	VERITAT	
castellà	Callosa de Segura	Callosa de Segura	VERITAT	
castellà	Camporrobles	Camporrobles	VERITAT	
castellà	Castielfabib	Castielfabib	VERITAT	
castellà	Catral	Catral	VERITAT	
castellà	Caudete de las Fuentes	Caudete de las Fuentes	VERITAT	
castellà	Caudiel	Caudiel	VERITAT	
castellà	Cirat	Cirat	VERITAT	
castellà	Dolores	Dolores	VERITAT	regla a part
castellà	Elda	Elda	VERITAT	
castellà	Fanzara	Fanzara	VERITAT	
castellà	Formentera del Segura	Formentera del Segura	VERITAT	
castellà	Fuenterrobles	Fuenterrobles	VERITAT	
castellà	Gaibiel	Gaibiel	VERITAT	
castellà	Geldo	Geldo	VERITAT	
castellà	Godelleta	Godelleta	VERITAT	
castellà	Loriguilla	Loriguilla	VERITAT	
castellà	Macastre	Macastre	VERITAT	
castellà	Marines	Marines	VERITAT	
castellà	Matet	Matet	VERITAT	
castellà	Montanejos	Montanejos	VERITAT	
castellà	Los Montesinos	Los Montesinos	VERITAT	
castellà	Navarrés	Navarrés	VERITAT	
castellà	Pedralba	Pedralba	VERITAT	
castellà	Quesa	Quesa	VERITAT	
castellà	Rafal	Rafal	VERITAT	
castellà	Requena	Requena	VERITAT	
castellà	Sot de Ferrer	Sot de Ferrer	VERITAT	
castellà	Teresa	Teresa	VERITAT	
castellà	Toga	Toga	VERITAT	
castellà	El Toro	El Toro	VERITAT	
castellà	Tous	Tous	VERITAT	
castellà	Utiel	Utiel	VERITAT	
castellà	Vallanca	Vallanca	VERITAT	
castellà	Vallat	Vallat	VERITAT	
castellà	Venta del Moro	Venta del Moro	VERITAT	
castellà	Villargordo del Cabriel	Villargordo del Cabriel	VERITAT	
castellà	Villena	Villena	VERITAT	
castellà	Viver	Viver	VERITAT	
castellà	Zarra	Zarra	VERITAT	
valencià	Alacant	Alacant	VERITAT	
valencià	Alboraia	Alboraia	VERITAT	
valencià	Alcoi	Alcoi	VERITAT	
valencià	Benicàssim	Benicàssim	VERITAT	
valencià	Borriana	Borriana	VERITAT	
valencià	Castelló de la Plana	Castelló de la Plana	VERITAT	
valencià	Elx	Elx	VERITAT	
valencià	Llucena	Llucena	VERITAT	
valencià	Moixent	Moixent	VERITAT	
valencià	Monòver	Monòver	VERITAT	
valencià	Montitxelvo	Montitxelvo	VERITAT	
valencià	Montroi	Montroi	VERITAT	
valencià	Novetlè	Novetlè	VERITAT	
valencià	Orpesa	Orpesa	VERITAT	
valencià	Peníscola	Peníscola	VERITAT	
valencià	Sagunt	Sagunt	VERITAT	
valencià	Sant Jordi	Sant Jordi	VERITAT	
valencià	Sant Vicent del Raspeig	Sant Vicent del Raspeig	VERITAT	
valencià	Suera	Suera	VERITAT	
valencià	Vilafranca	Vilafranca	VERITAT	
valencià	Vilallonga	Vilallonga	VERITAT	
valencià	Xàbia	Xàbia	VERITAT	
valencià	Xilxes	Xilxes	VERITAT	
valencià	Xixona	Xixona	VERITAT	
valencià	Xodos	Xodos	VERITAT	
valencià	Almassora	Almassora	VERITAT	
valencià	les Alqueries	les Alqueries	VERITAT	
valencià	el Camp de Mirra	el Camp de Mirra	VERITAT	
valencià	el Fondó de les Neus	el Fondó de les Neus	VERITAT	
valencià	l’Orxa	l’Orxa	VERITAT	
valencià	el Pinós	el Pinós	VERITAT	
valencià	el Poble Nou de Benitatxell	el Poble Nou de Benitatxell	VERITAT	
valencià	la Torre de les Maçanes	la Torre de les Maçanes	VERITAT	
valencià	les Useres	les Useres	VERITAT	
valencià	la Vila Joiosa	la Vila Joiosa	VERITAT	
valencià	Ador	Ador	VERITAT	
valencià	Agost	Agost	VERITAT	
valencià	Agres	Agres	VERITAT	
valencià	Agullent	Agullent	VERITAT	
valencià	Aielo de Malferit	Aielo de Malferit	VERITAT	
valencià	Aielo de Rugat	Aielo de Rugat	VERITAT	
valencià	Aigües	Aigües	VERITAT	
valencià	Aín	Aín	VERITAT	
valencià	Alaquàs	Alaquàs	VERITAT	
valencià	Albaida	Albaida	VERITAT	
valencià	Albal	Albal	VERITAT	
valencià	Albalat de la Ribera	Albalat de la Ribera	VERITAT	
valencià	Albalat dels Sorells	Albalat dels Sorells	VERITAT	
valencià	Albalat dels Tarongers	Albalat dels Tarongers	VERITAT	
valencià	Alberic	Alberic	VERITAT	
valencià	Albocàsser	Albocàsser	VERITAT	
valencià	Alcalà de Xivert	Alcalà de Xivert	VERITAT	
valencià	Alcalalí	Alcalalí	VERITAT	
valencià	Alcàntera de Xúquer	Alcàntera de Xúquer	VERITAT	
valencià	Alcàsser	Alcàsser	VERITAT	
valencià	Alcoleja	Alcoleja	VERITAT	
valencià	l’Alcora	l’Alcora	VERITAT	
valencià	l’Alcúdia	l’Alcúdia	VERITAT	
valencià	l’Alcúdia de Crespins	l’Alcúdia de Crespins	VERITAT	
valencià	Aldaia	Aldaia	VERITAT	
valencià	Alfafar	Alfafar	VERITAT	
valencià	Alfafara	Alfafara	VERITAT	
valencià	Alfara de la Baronia	Alfara de la Baronia	VERITAT	
valencià	Alfara del Patriarca	Alfara del Patriarca	VERITAT	
valencià	Alfarrasí	Alfarrasí	VERITAT	
valencià	l’Alfàs del Pi	l’Alfàs del Pi	VERITAT	
valencià	Alfauir	Alfauir	VERITAT	
valencià	Alfondeguilla	Alfondeguilla	VERITAT	
valencià	Algemesí	Algemesí	VERITAT	
valencià	Alginet	Alginet	VERITAT	
valencià	Almàssera	Almàssera	VERITAT	
valencià	Almenara	Almenara	VERITAT	
valencià	Almiserà	Almiserà	VERITAT	
valencià	Almoines	Almoines	VERITAT	
valencià	Almudaina	Almudaina	VERITAT	
valencià	Almussafes	Almussafes	VERITAT	
valencià	l’Alqueria d’Asnar	l’Alqueria d’Asnar	VERITAT	
valencià	l’Alqueria de la Comtessa	l’Alqueria de la Comtessa	VERITAT	
valencià	Altea	Altea	VERITAT	
valencià	Alzira	Alzira	VERITAT	
valencià	Antella	Antella	VERITAT	
valencià	Ares del Maestrat	Ares del Maestrat	VERITAT	
valencià	Artana	Artana	VERITAT	
valencià	Atzeneta d’Albaida	Atzeneta d’Albaida	VERITAT	
valencià	Atzeneta del Maestrat	Atzeneta del Maestrat	VERITAT	
valencià	l’Atzúbia	l’Atzúbia	VERITAT	
valencià	Balones	Balones	VERITAT	
valencià	Banyeres de Mariola	Banyeres de Mariola	VERITAT	
valencià	Barx	Barx	VERITAT	
valencià	Barxeta	Barxeta	VERITAT	
valencià	Bèlgida	Bèlgida	VERITAT	
valencià	Bellreguard	Bellreguard	VERITAT	
valencià	Bellús	Bellús	VERITAT	
valencià	Benafigos	Benafigos	VERITAT	
valencià	Benaguasil	Benaguasil	VERITAT	
valencià	Benasau	Benasau	VERITAT	
valencià	Benassal	Benassal	VERITAT	
valencià	Benavites	Benavites	VERITAT	
valencià	Beneixama	Beneixama	VERITAT	
valencià	Beneixida	Beneixida	VERITAT	
valencià	Benetússer	Benetússer	VERITAT	
valencià	Beniarbeig	Beniarbeig	VERITAT	
valencià	Beniarjó	Beniarjó	VERITAT	
valencià	Beniarrés	Beniarrés	VERITAT	
valencià	Beniatjar	Beniatjar	VERITAT	
valencià	Benicarló	Benicarló	VERITAT	
valencià	Benicolet	Benicolet	VERITAT	
valencià	Benicull de Xúquer	Benicull de Xúquer	VERITAT	
valencià	Benidoleig	Benidoleig	VERITAT	
valencià	Benidorm	Benidorm	VERITAT	
valencià	Benifaió	Benifaió	VERITAT	
valencià	Benifairó de la Valldigna	Benifairó de la Valldigna	VERITAT	
valencià	Benifairó de les Valls	Benifairó de les Valls	VERITAT	
valencià	Benifallim	Benifallim	VERITAT	
valencià	Benifato	Benifato	VERITAT	
valencià	Benigànim	Benigànim	VERITAT	
valencià	Benigembla	Benigembla	VERITAT	
valencià	Benilloba	Benilloba	VERITAT	
valencià	Benillup	Benillup	VERITAT	
valencià	Benimantell	Benimantell	VERITAT	
valencià	Benimarfull	Benimarfull	VERITAT	
valencià	Benimassot	Benimassot	VERITAT	
valencià	Benimeli	Benimeli	VERITAT	
valencià	Benimodo	Benimodo	VERITAT	
valencià	Benimuslem	Benimuslem	VERITAT	
valencià	Beniparrell	Beniparrell	VERITAT	
valencià	Benirredrà	Benirredrà	VERITAT	
valencià	Benissa	Benissa	VERITAT	
valencià	Benissanó	Benissanó	VERITAT	
valencià	Benissoda	Benissoda	VERITAT	
valencià	Benissuera	Benissuera	VERITAT	
valencià	Bétera	Bétera	VERITAT	
valencià	Betxí	Betxí	VERITAT	
valencià	Biar	Biar	VERITAT	
valencià	Bocairent	Bocairent	VERITAT	
valencià	Bolulla	Bolulla	VERITAT	
valencià	Bonrepòs i Mirambell	Bonrepòs i Mirambell	VERITAT	
valencià	Borriol	Borriol	VERITAT	
valencià	Bufali	Bufali	VERITAT	
valencià	Burjassot	Burjassot	VERITAT	
valencià	Busot	Busot	VERITAT	
valencià	Cabanes	Cabanes	VERITAT	
valencià	Càlig	Càlig	VERITAT	
valencià	Callosa d’en Sarrià	Callosa d’en Sarrià	VERITAT	
valencià	Calp	Calp	VERITAT	
valencià	el Campello	el Campello	VERITAT	
valencià	Canals	Canals	VERITAT	
valencià	Canet d’en Berenguer	Canet d’en Berenguer	VERITAT	
valencià	Canet lo Roig	Canet lo Roig	VERITAT	
valencià	Carcaixent	Carcaixent	VERITAT	
valencià	Càrcer	Càrcer	VERITAT	
valencià	Carlet	Carlet	VERITAT	
valencià	Carrícola	Carrícola	VERITAT	
valencià	Casinos	Casinos	VERITAT	
valencià	Castalla	Castalla	VERITAT	
valencià	Castell de Cabres	Castell de Cabres	VERITAT	
valencià	Castell de Castells	Castell de Castells	VERITAT	
valencià	el Castell de Guadalest	el Castell de Guadalest	VERITAT	
valencià	Castellfort	Castellfort	VERITAT	
valencià	Castelló de Rugat	Castelló de Rugat	VERITAT	
valencià	Castellonet de la Conquesta	Castellonet de la Conquesta	VERITAT	
valencià	Catadau	Catadau	VERITAT	
valencià	Catarroja	Catarroja	VERITAT	
valencià	Catí	Catí	VERITAT	
valencià	Cerdà	Cerdà	VERITAT	
valencià	Cinctorres	Cinctorres	VERITAT	
valencià	Cocentaina	Cocentaina	VERITAT	
valencià	Confrides	Confrides	VERITAT	
valencià	Corbera	Corbera	VERITAT	
valencià	Costur	Costur	VERITAT	
valencià	Cotes	Cotes	VERITAT	
valencià	les Coves de Vinromà	les Coves de Vinromà	VERITAT	
valencià	Crevillent	Crevillent	VERITAT	
valencià	Culla	Culla	VERITAT	
valencià	Cullera	Cullera	VERITAT	
valencià	Daimús	Daimús	VERITAT	
valencià	Dénia	Dénia	VERITAT	
valencià	l’Eliana	l’Eliana	VERITAT	
valencià	Emperador	Emperador	VERITAT	
valencià	l’Ènova	l’Ènova	VERITAT	
valencià	Eslida	Eslida	VERITAT	
valencià	Estivella	Estivella	VERITAT	
valencià	Estubeny	Estubeny	VERITAT	
valencià	Famorca	Famorca	VERITAT	
valencià	Faura	Faura	VERITAT	
valencià	Favara	Favara	VERITAT	
valencià	Figueroles	Figueroles	VERITAT	
valencià	Finestrat	Finestrat	VERITAT	
valencià	Foios	Foios	VERITAT	
valencià	la Font d’en Carròs	la Font d’en Carròs	VERITAT	
valencià	la Font de la Figuera	la Font de la Figuera	VERITAT	
valencià	Fontanars dels Alforins	Fontanars dels Alforins	VERITAT	
valencià	Fortaleny	Fortaleny	VERITAT	
valencià	Gaianes	Gaianes	VERITAT	
valencià	Gandia	Gandia	VERITAT	
valencià	Gata de Gorgos	Gata de Gorgos	VERITAT	
valencià	Gavarda	Gavarda	VERITAT	
valencià	Gilet	Gilet	VERITAT	
valencià	Godella	Godella	VERITAT	
valencià	Gorga	Gorga	VERITAT	
valencià	la Granja de la Costera	la Granja de la Costera	VERITAT	
valencià	Guadasséquies	Guadasséquies	VERITAT	
valencià	Guadassuar	Guadassuar	VERITAT	
valencià	Guardamar de la Safor	Guardamar de la Safor	VERITAT	
valencià	Guardamar del Segura	Guardamar del Segura	VERITAT	
valencià	Ibi	Ibi	VERITAT	
valencià	la Jana	la Jana	VERITAT	
valencià	Llanera de Ranes	Llanera de Ranes	VERITAT	
valencià	Llaurí	Llaurí	VERITAT	
valencià	Llíber	Llíber	VERITAT	
valencià	Llíria	Llíria	VERITAT	
valencià	Llocnou d’en Fenollet	Llocnou d’en Fenollet	VERITAT	
valencià	Llocnou de la Corona	Llocnou de la Corona	VERITAT	
valencià	Llocnou de Sant Jeroni	Llocnou de Sant Jeroni	VERITAT	
valencià	Llombai	Llombai	VERITAT	
valencià	la Llosa de Ranes	la Llosa de Ranes	VERITAT	
valencià	la Llosa	la Llosa	VERITAT	
valencià	Llutxent	Llutxent	VERITAT	
valencià	Manises	Manises	VERITAT	
valencià	Manuel	Manuel	VERITAT	
valencià	Massalavés	Massalavés	VERITAT	
valencià	Massalfassar	Massalfassar	VERITAT	
valencià	Massamagrell	Massamagrell	VERITAT	
valencià	Massanassa	Massanassa	VERITAT	
valencià	la Mata	la Mata	VERITAT	
valencià	Meliana	Meliana	VERITAT	
valencià	Millena	Millena	VERITAT	
valencià	Miramar	Miramar	VERITAT	
valencià	Mislata	Mislata	VERITAT	
valencià	Moncofa	Moncofa	VERITAT	
valencià	Montaverner	Montaverner	VERITAT	
valencià	Montesa	Montesa	VERITAT	
valencià	Montserrat	Montserrat	VERITAT	
valencià	Morella	Morella	VERITAT	
valencià	Murla	Murla	VERITAT	
valencià	Museros	Museros	VERITAT	
valencià	Mutxamel	Mutxamel	VERITAT	
valencià	Novelda	Novelda	VERITAT	
valencià	la Nucia	la Nucia	VERITAT	
valencià	Nules	Nules	VERITAT	
valencià	Oliva	Oliva	VERITAT	
valencià	l’Olleria	l’Olleria	VERITAT	
valencià	Olocau	Olocau	VERITAT	
valencià	Onda	Onda	VERITAT	
valencià	Ondara	Ondara	VERITAT	
valencià	Onil	Onil	VERITAT	
valencià	Ontinyent	Ontinyent	VERITAT	
valencià	Orba	Orba	VERITAT	
valencià	Orxeta	Orxeta	VERITAT	
valencià	Otos	Otos	VERITAT	
valencià	Paiporta	Paiporta	VERITAT	
valencià	Palanques	Palanques	VERITAT	
valencià	Palmera	Palmera	VERITAT	
valencià	el Palomar	el Palomar	VERITAT	
valencià	Parcent	Parcent	VERITAT	
valencià	Paterna	Paterna	VERITAT	
valencià	Pedreguer	Pedreguer	VERITAT	
valencià	Pego	Pego	VERITAT	
valencià	Penàguila	Penàguila	VERITAT	
valencià	Petrer	Petrer	VERITAT	
valencià	Petrés	Petrés	VERITAT	
valencià	Picanya	Picanya	VERITAT	
valencià	Picassent	Picassent	VERITAT	
valencià	Piles	Piles	VERITAT	
valencià	Pinet	Pinet	VERITAT	
valencià	Planes	Planes	VERITAT	
valencià	la Pobla de Benifassà	la Pobla de Benifassà	VERITAT	
valencià	la Pobla de Farnals	la Pobla de Farnals	VERITAT	
valencià	la Pobla de Vallbona	la Pobla de Vallbona	VERITAT	
valencià	la Pobla del Duc	la Pobla del Duc	VERITAT	
valencià	la Pobla Llarga	la Pobla Llarga	VERITAT	
valencià	la Pobla Tornesa	la Pobla Tornesa	VERITAT	
valencià	els Poblets	els Poblets	VERITAT	
valencià	Polinyà de Xúquer	Polinyà de Xúquer	VERITAT	
valencià	Polop	Polop	VERITAT	
valencià	Portell de Morella	Portell de Morella	VERITAT	
valencià	Potries	Potries	VERITAT	
valencià	Puçol	Puçol	VERITAT	
valencià	el Puig de Santa Maria	el Puig de Santa Maria	VERITAT	
valencià	Quart de les Valls	Quart de les Valls	VERITAT	
valencià	Quart de Poblet	Quart de Poblet	VERITAT	
valencià	Quartell	Quartell	VERITAT	
valencià	Quatretonda	Quatretonda	VERITAT	
valencià	Quatretondeta	Quatretondeta	VERITAT	
valencià	Rafelbunyol	Rafelbunyol	VERITAT	
valencià	Rafelcofer	Rafelcofer	VERITAT	
valencià	Rafelguaraf	Rafelguaraf	VERITAT	
valencià	el Ràfol d’Almúnia	el Ràfol d’Almúnia	VERITAT	
valencià	el Real de Gandia	el Real de Gandia	VERITAT	
valencià	Real	Real	VERITAT	
valencià	Relleu	Relleu	VERITAT	
valencià	Riba-roja de Túria	Riba-roja de Túria	VERITAT	
valencià	Ribesalbes	Ribesalbes	VERITAT	
valencià	Riola	Riola	VERITAT	
valencià	Rocafort	Rocafort	VERITAT	
valencià	la Romana	la Romana	VERITAT	
valencià	Rossell	Rossell	VERITAT	
valencià	Rotglà i Corberà	Rotglà i Corberà	VERITAT	
valencià	Rugat	Rugat	VERITAT	
valencià	Sagra	Sagra	VERITAT	
valencià	Salem	Salem	VERITAT	
valencià	la Salzadella	la Salzadella	VERITAT	
valencià	Sant Joan d’Alacant	Sant Joan d’Alacant	VERITAT	
valencià	Sant Joanet	Sant Joanet	VERITAT	
valencià	Sant Joan de Moró	Sant Joan de Moró	VERITAT	
valencià	Sant Mateu	Sant Mateu	VERITAT	
valencià	Santa Pola	Santa Pola	VERITAT	
valencià	Sedaví	Sedaví	VERITAT	
valencià	Segart	Segart	VERITAT	
valencià	Sella	Sella	VERITAT	
valencià	Sellent	Sellent	VERITAT	
valencià	Sempere	Sempere	VERITAT	
valencià	Senija	Senija	VERITAT	
valencià	Senyera	Senyera	VERITAT	
valencià	Serra	Serra	VERITAT	
valencià	la Serratella	la Serratella	VERITAT	
valencià	Silla	Silla	VERITAT	
valencià	Simat de la Valldigna	Simat de la Valldigna	VERITAT	
valencià	Sollana	Sollana	VERITAT	
valencià	Sueca	Sueca	VERITAT	
valencià	Sumacàrcer	Sumacàrcer	VERITAT	
valencià	Tales	Tales	VERITAT	
valencià	Tàrbena	Tàrbena	VERITAT	
valencià	Tavernes Blanques	Tavernes Blanques	VERITAT	
valencià	Tavernes de la Valldigna	Tavernes de la Valldigna	VERITAT	
valencià	Terrateig	Terrateig	VERITAT	
valencià	Teulada	Teulada	VERITAT	
valencià	Tibi	Tibi	VERITAT	
valencià	Tírig	Tírig	VERITAT	
valencià	Tollos	Tollos	VERITAT	
valencià	Tormos	Tormos	VERITAT	
valencià	la Torre d’en Besora	la Torre d’en Besora	VERITAT	
valencià	la Torre d’en Doménec	la Torre d’en Doménec	VERITAT	
valencià	Torreblanca	Torreblanca	VERITAT	
valencià	Torrella	Torrella	VERITAT	
valencià	Torrent	Torrent	VERITAT	
valencià	Torres Torres	Torres Torres	VERITAT	
valencià	Traiguera	Traiguera	VERITAT	
valencià	València	València	VERITAT	
valencià	la Vall d’Alcalà	la Vall d’Alcalà	VERITAT	
valencià	la Vall d’Ebo	la Vall d’Ebo	VERITAT	
valencià	la Vall d’Uixó	la Vall d’Uixó	VERITAT	
valencià	la Vall de Laguar	la Vall de Laguar	VERITAT	
valencià	Vallada	Vallada	VERITAT	
valencià	Vallés	Vallés	VERITAT	
valencià	Vallibona	Vallibona	VERITAT	
valencià	el Verger	el Verger	VERITAT	
valencià	Vilafamés	Vilafamés	VERITAT	
valencià	Vilamarxant	Vilamarxant	VERITAT	
valencià	Vilanova d’Alcolea	Vilanova d’Alcolea	VERITAT	
valencià	Vilar de Canes	Vilar de Canes	VERITAT	
valencià	Vila-real	Vila-real	VERITAT	
valencià	la Vilavella	la Vilavella	VERITAT	
valencià	Villores	Villores	VERITAT	
valencià	Vinalesa	Vinalesa	VERITAT	
valencià	Vinaròs	Vinaròs	VERITAT	
valencià	Vistabella del Maestrat	Vistabella del Maestrat	VERITAT	
valencià	Xaló	Xaló	VERITAT	
valencià	Xàtiva	Xàtiva	VERITAT	
valencià	Xeraco	Xeraco	VERITAT	
valencià	Xeresa	Xeresa	VERITAT	
valencià	Xert	Xert	VERITAT	
valencià	Xirivella	Xirivella	VERITAT	
